"Piptatherum gracile
Mez (=Oryzopsis
brachyclada Pilger,
Oryzopsis gracilis
(Mez) Pilg.)",,Piptatherum_gracile_(g)
"Piptatherum laterale
(Regel) Roshev.
(=Oryzopsis lateralis
(Regel) Stapf ex
Hook.f.)",,Piptatherum_laterale_(g)
"Plantago depressa
Willd.",,Plantago_depressa
"Plantago himalaica
Pilg.",,Plantago_himalaica
"Plantago lanceolata
L.",,Plantago_lanceolata
Poa alpina L.,,Poa_alpina_(g)
Poa attenuata Trin.,,Poa_attenuata_(g)
"Podophyllum
hexandrum Royle
(=Podophyllum
emodi Wall ex Royle,
Sinopodophyllum
hexandrum (Royle)
T.S.Ying)",,Podophyllum_hexandrum
"Polygonum
biaristatum Aitch. &
Hemsl.",,Polygonum_biaristatum
"Polygonum
cognatum Meisn.",,Polygonum_cognatum
"Polygonum
paronychioides
C.A.Mey.",,Polygonum_paronychioides
"Polygonum
polycnemoides Jaub.
& Spach",,Polygonum_polycnemoides
"Polygonum
rottboellioides Jaub.
& Spach",,Polygonum_rottboellioides
"Potentilla multifida
L. (= Potentilla
plurijuga Hand.-
Mazz.)",,Potentilla_multifida
"Potentilla pamirica
Th.Wolf",,Potentilla_pamirica
"Potentilla
cathaclines Lehm.
(=Potentilla
argyrophylla Wall.
ex Lehm. var.
leucochroa Lindl. ex
Hook.f.)",,Potentilla_atrosanguinea_var_argyrophylla
"Potentilla
desertorum Bunge",,Potentilla_desertorum
"Prangos pabularia
Lindl.",,Prangos_pabularia
"Primula minutissima
Jacquem. ex Duby
(Primula heydei
Watt)",,Primula_minutissima
"Primula pamirica
Fed.",,Primula_pamirica
"Psychrogeton
andryaloides (DC.)
Novopokr. ex
Krasch. (=Erigeron
andryaloides Benth.
ex C.B.Clarke)",,Psychrogeton_andryaloides
"Puccinellia distans
(Jacq.) Parl.",,Puccinellia_distans
"Ranunculus
longicaulis Ledeb.
ex A.Spreng.",,Ranunculus_longicaulis
"Ranunculus
pulchellus Ledeb.
ex Spreng.
var. pulchellus
(=Ranunculus
nephelogenes
Edgew.)",,Ranunculus_pulchellus
"Rhamnus darii
Govaerts (=Rhamnus
prostrata Jacq. ex
Parker)",,Rhamnus_prostrata
"Rheum spiciforme
Royle",,Rheum_spiciforme
"Rheum webbianum
Royel",,Rheum_webbianum
"Rhodiola crenulata
(Hook.f. &
Thomson) H.Ohba",,Rhodiola_crenulata
"Rhodiola tibetica
(Hook.f. &
Thomson) S.H.Fu
(=Sedum tibeticum
Hook.f. & Thomson)",,Rhodiola_tibetica
"Rhodiola
pamiroalaica Boriss.",,Rhodiola_pamiroalaica
"Rhodiola
wallichiana (Hook.)
S.H. Fu (=Sedum
crassipes Wall. Ex
H. & T.)",,Rhodiola_wallichiana
"Ribes himalense
Royle ex Decne.
(=Ribes emodense
Rehder)",,Ribes_himalense_var_verruculosum
Ribes orientale Desf.,,Ribes_orientale
"Richteria
pyrethroides
Kar. & Kir.
(=Chrysanthemum
pyrethroides
B.Fedtsch.,
Chrysanthemum
richteria Benth.,
Tanacetum
pyrethroides (Kar. &
Kir.) Muradyan)",,Richteria_pyrethroides
"Rosa webbiana Wall.
ex Royle",,Rosa_webbiana
"Rosularia alpestris
(Kar. & Kir.) Boriss.
var. alpestris
(=Sempervivella
mucronata (Edgew.)
Berger)",,Rosularia_alpestris
"Rubia tibetica
Hook. f.",,Rubia_tibetica
Rubia tinctorum L.,,Rubia_tinctorum
