Name of taxa,Family,Plant group,PresenceInData,"Plant
Androsace_muscoidea Duby,Primulaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Nubra valley,
Matayan","6770-SAZ,
31240-
KASH",,
Androsace_rotundifolia Hardw._(=Androsace_thomsonii (G.Watt)_Y.J.Nasir),Primulaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Sapi, Drass,
Budhkharbu","6161-SAZ,
18477-
KASH",,
Androsace_sarmentosa Wall._subsp. primuloides_(Duby) Govaerts_(=Androsace_primuloides Duby),Primulaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Khardung La,
Leh, Matayan","6762-SAZ,
19590-
KASH",,
Androsace_sempervivoides Jacq._ex Duby,Primulaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Kanji, Khaltsi,
Kargil","6162-SAZ.
19199-
KASH",,
Androsace_septentrionalis L.,Primulaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Matayan,
Mahi Leh,
Chumathang","6772-SAZ,
29735-
KASH",,
Androsace villosa L.,Primulaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Sapi La, Chang
La, Fatu La",6163-SAZ,,
Anemonastrum_polyanthes (D.Don)_Holub (=Anemone_polyanthes D.Don),Ranunculaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Shang, Trachit,
Meroo","11091-
KASH",,
Anemonastrum_tetrasepalum (Royle)_Holub (=Anemone_tetrasepala Royle),Ranunculaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Drass, Sapi La,
Rangdum","6179-SAZ,
34219-
KASH",,
Anethum graveolens_L.,Apiaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Kargil,
Panikhar,
Sangrah","4553-SAZ,
11728-
KASH",,
Angelica_archangelica L.,Apiaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Drass,
Matayan,
Pandrass","4555-SAZ,
10317-
KASH",,
Angelica glauca_Edgew.,Apiaceae,Angiosperm,0,Dicot,Herb,EN,Perennial,"Minimarg,
Drass, Nyoma","4554-SAZ,
34154-
KASH",,
Anthemis cotula L.,Asteraceae,Angiosperm,0,Dicot,Herb,NE,Annual,Kargil,"4586-SAZ,
28972-
KASH",,
Anthoxanthum_odoratum L.,Poaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Kargil, Khaltsi","6046-SAZ,
18960-
KASH",,
Anthriscus sylvestris_(L.) Hoffm. subsp._sylvestris (L.)_Hoffm. (=Anthriscus_nemorosa (M.Bieb.)_Spreng.),Apiaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,Ladakh,__,,
Name of taxa,Family,Plant group,0,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,
