"Arenaria
serpyllifolia L.
subsp. leptoclados
(Rchb.) Nyman
(=Arenaria
leptoclados Boiss.)",Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Nubra valley,
Drass","4830-SAZ,
42181-
KASH",,,
"Argentina anserina
(L.) Rydb.
(=Potentilla anserina
L.)",Rosaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Nubra valley,
Lamayuru,
Zanaskar
valley, Drass,
Pangong,
Nyoma,
Lom, Leh,
Shey, Hanle,
Rhongo, Alchi,
Suspol","6206-SAZ,
39007-
KASH",,,
"Argentina
sericophylla
(R.Parker) Soják
(=Potentilla
sericophylla
R.Parker)",Rosaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Kargil, Kanji",__,,,
"Aristida adscensionis
L.",Poaceae,Angiosperm,Monocot,Herb,NE,Annual,"Chutuk,
Kurbathang,
Trespone","21981-
KASH",,,
"Aristida cyanantha
Nees ex Steud.",Poaceae,Angiosperm,Monocot,Herb,NE,Perennial,Chang La,__,,,
"Arnebia euchroma
I.M.Johnst.",Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Drass,
Zanaskar
valley,
Chiktan,
Changthang,
Skuru, Chang
La","5100-SAZ,
26355-
KASH",,,
"Arnebia euchroma
I.M.Johnst.
subsp. euchroma
(=Macrotomia
perennis (Schrenk)
Boiss.)",Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Drass,
Zanaskar
valley,
Chiktan,
Changthang,
Skuru, Chang
La","9210-SAZ,
27343-
KASH",,,
"Arnebia euchroma
I.M.Johnst. subsp.
grandis (Bornm.)
Riedl (=Arnebia
euchroma
I.M.Johnst. var.
grandis (Bornm.)
Kazmi)",Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Sapi, Batalik,
Turtuk, Kanji,
Tangole,
Rangdum,
Penzi La","8901-SAZ,
29351-
KASH",,,
Name of taxa,Family,Plant group,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,,
"Arnebia guttata
Bunge",Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Kanji,
Changthang,
Hanupata Leh,
Chang La,
Nubra valley,
Tso Moriri,
Lamayuru,
Tangste,
Hanle, Upshi,
Rangdum,
Noyma,
Khardung La,
Nubra valley,
Penzi La,
Sankoo, Loma","9510-SAZ,
22382-
KASH",,,
